Date,Index
01/02/2011,145.508897
01/03/2011,174.354369
01/04/2011,157.4958827
01/05/2011,126.1920664
01/06/2011,158.0886236
01/07/2011,197.9163576
01/08/2011,245.1267138
01/09/2011,204.6297911
01/10/2011,159.73957
01/11/2011,166.3390151
01/12/2011,189.3983598
01/01/2012,178.2865293
01/02/2012,149.6370842
01/03/2012,137.5531149
01/04/2012,136.5966873
01/05/2012,158.5619837
01/06/2012,194.6105712
01/07/2012,184.8797016
01/08/2012,152.3534662
01/09/2012,175.277054
01/10/2012,165.9445163
01/11/2012,187.4906369
01/12/2012,192.8251814
01/01/2013,157.5333038
01/02/2013,114.6541206
01/03/2013,124.9408187
01/04/2013,118.7104882
01/05/2013,104.3045486
01/06/2013,114.6161372
01/07/2013,94.03990942
01/08/2013,102.7706727
01/09/2013,144.4017806
01/10/2013,171.0222463
01/11/2013,89.90614158
01/12/2013,104.6021181
01/01/2014,93.50073992
01/02/2014,88.98534636
01/03/2014,93.46759412
01/04/2014,91.11802009
01/05/2014,90.3922459
01/06/2014,81.00762237
01/07/2014,76.64489329
01/08/2014,71.2621405
01/09/2014,84.33692211
01/10/2014,100.2066563
01/11/2014,88.56003209
01/12/2014,85.18750047
01/01/2015,117.1606288
01/02/2015,100.3197357
01/03/2015,105.2181346
01/04/2015,109.6437948
01/05/2015,101.0189428
01/06/2015,108.9527949
01/07/2015,98.91843157
01/08/2015,129.6953212
01/09/2015,138.7216868
01/10/2015,102.8940237
01/11/2015,92.10043936
01/12/2015,99.34261426
01/01/2016,119.0151948
01/02/2016,114.6245558
01/03/2016,104.1908105
01/04/2016,84.25133883
01/05/2016,82.04126671
01/06/2016,162.6291173
01/07/2016,121.9646477
01/08/2016,91.82890313
01/09/2016,79.80896353
01/10/2016,92.51784826
01/11/2016,169.3778224
01/12/2016,115.1520509
01/01/2017,134.8695271
01/02/2017,133.3314818
01/03/2017,119.7761694
01/04/2017,121.5705943
01/05/2017,104.1709719
01/06/2017,98.75896093
01/07/2017,110.7535972
01/08/2017,109.1782724
01/09/2017,96.7507657
01/10/2017,102.1605712
01/11/2017,94.48960618
01/12/2017,111.4972254
01/01/2018,123.6515559
01/02/2018,94.00742477
01/03/2018,136.3343196
01/04/2018,108.2137424
01/05/2018,124.9366486
01/06/2018,108.6273959
01/07/2018,133.0862533
01/08/2018,99.13561529
01/09/2018,102.6601995
01/10/2018,111.5125666
01/11/2018,130.2238681
01/12/2018,166.2868055
01/01/2019,201.0320131
01/02/2019,106.9006639
01/03/2019,140.2473706
01/04/2019,98.73670429
01/05/2019,122.5387647
01/06/2019,150.11678
01/07/2019,149.9728958
01/08/2019,190.4632314
01/09/2019,134.3617847
01/10/2019,118.4882165
01/11/2019,131.7507054
01/12/2019,143.4672465
01/01/2020,131.3910878
01/02/2020,160.5156498
01/03/2020,283.1472059
01/04/2020,268.6163883
01/05/2020,350.4598174
01/06/2020,231.2597978
01/07/2020,305.9635539
01/08/2020,224.4263667
01/09/2020,218.0582922
01/10/2020,249.1736154
01/11/2020,246.7071012
01/12/2020,246.1261038
01/01/2021,207.91242
01/02/2021,151.9328795
01/03/2021,139.8012047
01/04/2021,124.8895173
01/05/2021,147.0158401
01/06/2021,133.5788741
01/07/2021,152.9109189
01/08/2021,133.8145486
01/09/2021,142.0676314
01/10/2021,121.9515018
01/11/2021,151.2868391
01/12/2021,166.2426549
01/01/2022,139.2375842
01/02/2022,138.0535272
01/03/2022,190.0124135
01/04/2022,154.6619563
01/05/2022,168.0008251
01/06/2022,145.9759362
01/07/2022,186.9214101
01/08/2022,163.2398153
01/09/2022,174.1834749
01/10/2022,177.4231265
01/11/2022,171.7372569
01/12/2022,136.4331548
01/01/2023,143.0975269
01/02/2023,124.1095074
01/03/2023,151.9153854
01/04/2023,131.3942626
01/05/2023,160.1657609
01/06/2023,145.0299491
01/07/2023,117.7654374
01/08/2023,88.46747733
01/09/2023,110.0922898
